Date,Time,Temp_Out,Hi_Temp,Low_Temp,Out_Hum,Dew_Pt,Wind_Speed,Wind_Dir,Wind_Run,Hi_Speed,Hi_Dir,Wind_Chill,Heat_Index,THW_Index,THSW_Index,Bar  ,Rain,Rain_Rate,Solar_Rad.,Solar_Energy,Hi Solar_Rad. ,UV _Index,UV _Dose,Hi _UV ,Heat_D-D ,Cool_D-D ,In _Temp,In_Hum,In _Dew,In _Heat,In _EMC,In Air_Density,ET ,Wind_Samp,Wind_Tx ,ISS _Recept,Arc_Int
10/19/2019,5:00 AM,20.3,20.3,20.1,98,20,0,,0,0,,20.3,21.8,21.8,21,1002.1,0,0,0,0,0,0,0,0,0,0.041,20.5,91,19,21.7,20.65,1.1635,0,702,1,100,30
10/19/2019,5:30 AM,20.4,20.4,20.3,98,20.1,0,,0,0,,20.4,21.9,21.9,21.1,1002.1,0,0,0,0,0,0,0,0,0,0.043,20.6,91,19.1,21.8,20.65,1.1628,0,699,1,100,30
10/19/2019,6:00 AM,20.5,20.5,20.4,98,20.2,0,,0,0,,20.5,22,22,21.2,1002.4,0,0,1,0.04,7,0,0,0,0,0.045,20.7,91,19.2,21.9,20.65,1.1625,0,703,1,100,30
10/19/2019,6:30 AM,20.7,20.7,20.5,98,20.3,0,,0,0,,20.7,22.2,22.2,21.6,1002.6,0,0,15,0.65,33,0,0,0,0,0.049,20.9,92,19.5,22.2,20.75,1.1616,0,701,1,100,30
10/19/2019,7:00 AM,20.9,20.9,20.6,98,20.6,0,,0,0,,20.9,22.4,22.4,22.4,1003.3,0,0,39,1.68,58,0,0,0,0,0.053,21.2,92,19.8,22.4,20.76,1.1609,0.03,701,1,100,30
10/19/2019,7:30 AM,21.1,21.1,20.8,98,20.8,0,N,0,0.4,N,21.1,22.7,22.7,23.2,1003.7,0,0,62,2.67,86,0.1,0.02,0.5,0,0.058,21.5,92,20.1,22.8,20.79,1.1595,0,702,1,100,30
10/19/2019,8:00 AM,21.6,21.6,21.1,98,21.3,0,,0,0,,21.6,23.1,23.1,24.6,1004.3,0,0,95,4.09,116,0.7,0.15,0.9,0,0.068,22.1,91,20.5,23.3,20.75,1.1573,0.05,701,1,100,30
10/19/2019,8:30 AM,22.1,22.1,21.6,96,21.4,0,,0,0,,22.1,23.5,23.5,25.5,1004.7,0,0,138,5.93,186,1.2,0.26,1.4,0,0.078,22.8,90,21.1,23.9,20.45,1.154,0,701,1,100,30
10/19/2019,9:00 AM,22.4,22.4,22.1,96,21.7,0,,0,0,,22.4,23.8,23.8,24.2,1005.1,0,0,154,6.62,192,1.5,0.32,1.8,0,0.084,23.1,90,21.4,24.3,20.45,1.1526,0.08,702,1,100,30
10/19/2019,9:30 AM,22.9,22.9,22.4,95,22.1,0,NNE,0,0.9,NW,22.9,24.4,24.4,25.9,1005.5,0,0,244,10.49,330,2.8,0.6,3.6,0,0.096,23.9,89,22,25.3,19.95,1.1489,0,702,1,100,30
10/19/2019,10:00 AM,23.6,23.6,22.9,94,22.6,0,WSW,0,0.4,E,23.6,25.2,25.2,27.2,1005.3,0,0,279,12,519,3.6,0.77,6.9,0,0.11,24.8,88,22.7,26.6,19.49,1.144,0.18,701,1,100,30
10/19/2019,10:30 AM,25.1,25.1,23.6,81,21.6,0,SSE,0,1.3,SE,25.1,26.7,26.7,31.5,1005.1,0.25,0,520,22.36,1301,7.2,1.54,12.2,0,0.14,26.9,75,22.1,29.4,14.34,1.1368,0,702,1,100,30
10/19/2019,11:00 AM,25.2,25.8,25.1,86,22.7,0,NNE,0,1.3,SSE,25.2,27.2,27.2,31.4,1004.8,0,0,460,19.78,1143,6.2,1.33,11.8,0,0.144,27.3,77,22.9,30.5,14.93,1.1332,0.36,701,1,100,30
10/19/2019,11:30 AM,25.7,25.7,25.1,90,24,0,S,0,0.9,S,25.7,28.4,28.4,33.3,1004.2,0,0,512,22.02,926,7.6,1.63,10.7,0,0.154,27.9,80,24.2,32.3,15.86,1.1276,0,702,1,100,30
10/19/2019,12:00 PM,25.8,25.9,25.7,89,23.9,0,SSE,0,0.4,ENE,25.8,28.6,28.6,32.6,1003.5,0,0,441,18.97,689,6.4,1.37,8.6,0,0.156,28.1,78,23.9,32.3,15.2,1.1267,0.3,702,1,100,30
10/19/2019,12:30 PM,26.1,26.1,25.8,91,24.5,0,SSW,0,1.8,SSE,26.1,29.3,29.3,34,1002.4,0,0,491,21.12,819,6.9,1.48,10.6,0,0.161,28.5,78,24.3,33.3,15.18,1.1233,0,700,1,100,30
