,osm_id,Name,Block,place,lat,lon
0,1156621821,Bamboloi II,Bloc 6,village,0.923583,25.210667
17,4392218192,Mangojeo,Uvira,village,-3.643081,29.148791
26,6707753174,,Bloc 21,hamlet,-4.894738,26.956126
29,1157931397,Nongo,Bloc II,village,1.471045,30.129497
32,4590777632,Kalongwe,Baraka,village,-4.093902,29.259248
36,1158948161,Kibingu,Bloc V,village,-0.94879,29.194174
42,663346358,Tereka,Moba,village,-7.031167,29.757833
43,4615047999,,Mulula Lubanga (11),village,-5.402749,28.681348
47,4847635626,,Moero,village,-8.40034,29.006147
48,1157936842,Monobi,Bloc II,village,1.232444,30.135806
55,1160970127,Kiromoni,Uvira,village,-3.349887,29.161831
64,1157932766,Saba,Bloc I,village,1.756388,30.374926
75,4477003377,Muyeba,Mulula Lubanga (11),village,-5.966667,29.15
77,663335180,Kapitolo,Moero,village,-8.562709,28.805294
87,1158947806,Kasesero,Bloc V,village,-0.984252,29.176382
89,5703071664,Songa 1/Moya,Bloc I,village,1.740604,30.742975
91,1157860539,Dhedda,Bloc I,village,1.818583,30.6168
99,663323721,Lupembe,Moero,village,-9.96723,28.105546
105,1074176604,Kitongote,Bloc IV,village,0.114271,29.642126
116,3894022897,Kyolo,Upemba,town,-8.023365,27.124205
118,614006405,Tshumbiri,Bloc 22,town,-2.638803,16.24449
121,6130022369,Kinyatsi,Bloc IV,village,0.052066,29.354035
122,6289597165,Mabilatoko,Bloc 21,village,-4.297884,25.59395
124,1157935368,Tchoro,Bloc I,village,1.736361,30.591444
132,1157933006,Ndoki,Bloc I,village,1.668889,30.609722
136,4087687734,Kapango,Upemba,village,-7.76105,27.568924
141,1156248958,Bac Luvua,Moero,village,-8.482599,28.884677
144,4175725859,Kahengele,Kalemie (06),village,-5.844914,29.25733
155,1159370923,Kashiraboba,Idjwi,village,-2.072628,29.065589
162,5559947464,Kekonda,Bloc 21,village,-4.678827,25.827029
164,4857858594,,Mulula Lubanga (11),hamlet,-5.456354,28.7697
167,1160970408,Mulongwe1,Uvira,village,-3.40194,29.12936
171,6289542481,Lokenye,Bloc 21,village,-4.365617,25.153445
172,6289437936,Dikongo,Bloc 21,neighbourhood,-4.242324,25.182188
173,5742823107,Yalimu,Bloc 4B,hamlet,0.919282,22.075431
174,5932877700,Dodoi,Bloc II,hamlet,1.418927,30.251414
178,4634898807,,Mulula Lubanga (11),village,-5.897813,29.122555
187,1023831286,Bulega,Idjwi,village,-2.06753,29.060142
194,1731963712,Lifengo,Bloc 4B,village,0.529301,21.029858
207,4392204197,Bangwe,Uvira,village,-3.569164,29.147697
218,5071047478,Bena-Bondo,Bloc 18,village,-4.566667,22.933333
233,5860199613,Mumbe,Bloc IV,hamlet,0.322534,29.385436
252,6396527409,,Bloc 21,village,-4.397364,26.75389
253,1157858373,Langbe,Bloc I,village,1.794306,30.6518
263,1023831989,Bukole,Idjwi,village,-1.98555,29.058495
268,5938262329,Djalokaki,Bloc II,village,1.323869,30.255375
283,1157933079,Kongi,Bloc I,village,1.702889,30.608861
284,5088389227,Nganze,Bloc 21,village,-4.234294,25.947197
291,1074118469,Kiwanza,Bloc IV,village,-0.046667,29.515556
304,1157936476,Tchey,Bloc I,village,1.676167,30.652583
320,1732741282,Yokana,Bloc 4B,village,0.861719,22.914732
343,2465458205,DAV,Kalemie (06),neighbourhood,-5.924104,29.194976
348,663346368,Ntoto,Mpala,village,-6.968361,29.730361
353,1157932789,Mbasa,Bloc II,village,1.224778,30.135389
359,1160970330,Rubungo,Uvira,village,-3.35767,29.10503
370,1074303230,Bahambu,Bloc IV,village,0.32357,29.74627
376,1160974185,Kalundu,Uvira,village,-3.427139,29.132222
378,5942316937,Kombio II,Bloc II,hamlet,1.271787,30.302172
379,1160970029,Shishi,Uvira,village,-3.38942,29.13919
381,663345760,Nkorosha,Moba,village,-7.553972,30.215583
382,663323766,Kamirimba,Moero,village,-9.531613,28.241264
391,1023831462,,Idjwi,village,-2.027856,29.063663
394,6749655992,,Bloc 21,village,-4.065407,25.610695
402,1732085242,Lifanga,Bloc 4B,village,0.33387,21.890948
406,1157932603,Maga,Bloc II,village,1.16625,30.055361
407,5038539201,Lekya,Kibanga Kisoshi (03),village,-4.605567,29.113544
408,4941529286,,Kibi-Fatuma,village,-6.554673,29.492562
412,1160972301,Kaberagule,Uvira,village,-3.05081,29.23008
439,6920504693,,Kibi-Fatuma,hamlet,-6.355381,29.370621
440,1160972200,Kitija,Uvira,village,-3.183528,29.127944
441,1157935613,Koga,Bloc II,hamlet,1.271154,30.339864
444,4443644432,Kasombo,Moero,village,-8.174565,28.987346
467,1157937382,Bi,Bloc I,village,1.710111,30.412028
468,5886788833,Busoko,Bloc IV,village,0.270456,29.37134
469,1916597566,,Kalemie (06),village,-5.646865,29.402797
477,4634914616,,Mulula Lubanga (11),hamlet,-5.980736,28.968635
481,4477002292,Kilasi,Kalemie (06),village,-6.1,29.216667
492,1160972780,Rusabagi,Uvira,village,-3.04931,29.22408
